Name,Alias,IATA,ICAO,call_sign,Country,Active,child_price_rate,
Aero Flight Service,\N,,AGY,FLIGHT GROUP,United States,N,0.3,
Agrolet-Mci,\N,,AGZ,AGROLET,Slovakia,N,0.3,
Air Alpha Greenland,\N,GD,AHA,AIR ALPHA,Denmark,N,0.3,
Azal Avia Cargo,\N,,AHC,AZALAVIACARGO,Azerbaijan,N,0.3,
Airport Helicopter Basel,\N,,AHE, Muller & Co.,AIRPORT HELICOPTER,N,0.3,
Aeroservices Corporate,\N,,CJE,BIRD JET,France,N,0.3,
Aspen Helicopters,\N,,AHF,ASPEN,United States,N,0.3,
Aerochago Airlines,\N,,AHG,AEROCHAGO,Dominican Republic,N,0.3,
Airplanes Holdings,\N,,AHH,AIRHOLD,Ireland,N,0.3,
Air Hong Kong,\N,LD,AHK,AIR HONG KONG,Hong Kong,N,0.3,
Aerochiapas,\N,,AHP,AEROCHIAPAS,Mexico,N,0.3,
Air Adriatic,\N,,AHR,ADRIATIC,Croatia,N,0.3,
Air Viggi San Raffaele,\N,,AHS,AIRSAR,Italy,N,0.3,
ABC Air Hungary,\N,,AHU,ABC HUNGARY,Hungary,N,0.3,
Aeromist-Kharkiv,\N,HT,AHW,AEROMIST,Ukraine,N,0.3,
Azerbaijan Airlines,\N,J2,AHY,AZAL,Azerbaijan,Y,0.3,
Avies,\N,U3,AIA,AVIES,Estonia,Y,0.3,
Airbus Industrie,\N,AP,AIB,AIRBUS INDUSTRIE,France,N,0.3,
Alpine Air Chile,\N,,AIH,ALPINE CHILE,Chile,N,0.3,
Air Integra,\N,,AII,INTEGRA,Canada,N,0.3,
ABC Aerolineas,\N,,AIJ,ABC AEROLINEAS,Mexico,N,0.3,
African Airlines International Limited,\N,,AIK,AFRICAN AIRLINES,Kenya,N,0.3,
African International Airways,\N,,AIN,FLY CARGO,Swaziland,N,0.3,
Alpine Air Express,\N,5A,AIP,ALPINE AIR,United States,N,0.3,
Alicante Internacional Airlines,\N,,AIU,ALIA,Spain,N,0.3,
Aba Air,\N,,ABP,BAIR,Czech Republic,N,0.3,
Airblue,\N,ED,ABQ,PAKBLUE,Pakistan,Y,0.3,
Airmark Aviation,\N,,THM,THAI AIRMARK,Thailand,N,0.3,
Airlift International,\N,,AIR,AIRLIFT,United States,Y,0.3,
Airest,\N,,AIT, ,Estonia,N,0.3,
Air Baffin,\N,,BFF,AIR BAFFIN,Canada,N,0.3,
Air Bandama,\N,,BDM,BANDAMA,Ivory Coast,N,0.3,
Air Berlin,\N,AB,BER,AIR BERLIN,Germany,Y,0.3,
