name,alias,iata,icao,call_sign,country,active,active_2,child_price_rate,
Africa Air Links,\N,,AFK,AFRICA LINKS,Sierra Leone,false,N,0.3,
Aeroflot Russian Airlines,\N,SU,AFL,AEROFLOT,Russia,true,Y,0.3,
Aero Empresa Mexicana,\N,,AFO,AERO EMPRESA,Mexico,false,N,0.3,
Air Bosna,\N,JA,BON,AIR BOSNA,Bosnia and Herzegovina,true,Y,0.3,
Air Bravo,\N,,BRF,AIR BRAVO,Uganda,false,N,0.3,
Air Brasd'or,\N,,BRL,BRASD'OR,Canada,false,N,0.3,
Air 500,\N,,BRM,BOOMERANG,Canada,false,N,0.3,
Alba Servizi Aerotrasporti,\N,,AFQ,ALBA,Italy,false,N,0.3,
Air France,\N,AF,AFR,AIRFRANS,France,true,Y,0.3,
Air Partner,\N,,ACG,AIR PARTNER,United Kingdom,false,N,0.3,
Air Caledonie International,\N,SB,ACI,AIRCALIN,France,true,Y,0.3,
Air Caledonia,\N,,ACM,WEST CAL,Canada,false,N,0.3,
Air Guam,\N,,AGM,AIR GUAM,United States,false,N,0.3,
Air Gabon,\N,GN,AGN,GOLF NOVEMBER,Gabon,false,N,0.3,
Air Data,\N,,AFS,,United Kingdom,false,N,0.3,
Air Afrique Vacancies,\N,,AFV,AFRIQUE VACANCE,Ivory Coast,false,N,0.3,
Air Cargo America,\N,,MVM,PEGASUS,United States,false,N,0.3,
Air Salone,\N,2O,,,Sierra Leone,true,Y,0.3,
Air-Angol,\N,,NGO,AIR ANGOL,Angola,false,N,0.3,
Air Nigeria,\N,,NGP,REGAL EAGLE,Nigeria,false,N,0.3,
Air Cargo Carriers,\N,2Q,SNC,NIGHT CARGO,United States,true,Y,0.3,
Air Samarkand,\N,,SND,ARSAM,Uzbekistan,false,N,0.3,
Air Senegal International,\N,V7,SNG,AIR SENEGAL,Senegal,false,N,0.3,
Air Sandy,\N,,SNY,AIR SANDY,Canada,false,N,0.3,
Air Namibia,\N,SW,NMB,NAMIBIA,Namibia,true,Y,0.3,
Air Intersalonika,\N,,NSK,INTERSALONIKA,Greece,false,N,0.3,
Air Anatolia,\N,,NTL,AIR ANATOLIA,Turkey,false,N,0.3,
Air Saigon,\N,,SGA,AIR SAIGON,Vietnam,false,N,0.3,
Afrique Regional Airways,\N,,AFW,AFRAIR,Ivory Coast,false,N,0.3,
Airfreight Express,\N,,AFX, ,United Kingdom,false,N,0.3,
Africa Chartered Services,\N,,AFY,AFRICA CHARTERED,Nigeria,false,N,0.3,
Africa Freight Services,\N,,AFZ,AFREIGHT,Zambia,false,N,0.3,
Aeronaves Del Centro,\N,,AGA,,Venezuela,false,N,0.3,
Air Service Gabon,\N,G8,AGB,,Gabon,false,N,0.3,
Arab Agricultural Aviation Company,\N,,AGC,AGRICO,Egypt,false,N,0.3,
Atlantic Gulf Airlines,\N,,AGF,ATLANTIC GULF,United States,false,N,0.3,
Aerolitoral,\N,5D,SLI,COSTERA,Mexico,true,Y,0.3,
Algoma Airways,\N,,AGG,ALGOMA,Canada,false,N,0.3,
Altagna,\N,,AGH,ALTAGNA,France,false,N,0.3,
Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,false,N,0.3,
Angola Air Charter,\N,,AGO,ANGOLA CHARTER,Angola,false,N,0.3,
AERFI Group,\N,,AGP,AIR TARA,Ireland,false,N,0.3,
Aerogala,\N,,AGQ,GALASERVICE,Chile,false,N,0.3,
Amadeus Global Travel Distribution,\N,1A,AGT,AMADEUS,Spain,false,N,0.3,
Angara Airlines,\N,,AGU,SARMA,Russia,false,N,0.3,
Air Glaciers,\N,7T,AGV,AIR GLACIERS,Switzerland,true,Y,0.3,
Aero Gambia,\N,,AGW,AERO GAMBIA,Gambia,false,N,0.3,
Aviogenex,\N,,AGX,GENEX,Serbia,true,Y,0.3,
Atlantic Coast Airlines,\N,,BLR,BLUE RIDGE,United States,false,N,0.3,
Aero Barloz,\N,,BLZ,AEROLOZ,Mexico,false,N,0.3,
Aeroper,\N,PL,PLI,Aeroperu,Peru,true,Y,0.3,
Atlas Blue,\N,8A,BMM,ATLAS BLUE,Morocco,true,Y,0.3,
Aero Banobras,\N,,BNB,AEROBANOBRAS,Mexico,false,N,0.3,
Aero Flight Service,\N,,AGY,FLIGHT GROUP,United States,false,N,0.3,
Agrolet-Mci,\N,,AGZ,AGROLET,Slovakia,false,N,0.3,
Air Alpha Greenland,\N,GD,AHA,AIR ALPHA,Denmark,false,N,0.3,
Azal Avia Cargo,\N,,AHC,AZALAVIACARGO,Azerbaijan,false,N,0.3,
