name,alias,iata,icao,call_sign,country,active,active_2,child_price_rate,
Gulf Air,\N,,GFA,GULF AIR,Oman,true,Y,0.3,
Gulf Air Bahrain,\N,GF,GBA,GULF BAHRAIN,Bahrain,true,Y,0.3,
Gulf Air Inc,\N,,GAT,GULF TRANS,United States,false,N,0.3,
Gulf Central Airlines,\N,,GCN,GULF CENTRAL,United States,false,N,0.3,
Gulf Flite Center,\N,,SFY,SKY FLITE,United States,false,N,0.3,
Gulf Pearl Air Lines,\N,,GPC,AIR GULFPEARL,Libya,false,N,0.3,
Gulfstream Aerospace,\N,,GLF,GULFSTREAM TEST,United States,false,N,0.3,
Gulfstream Airlines,\N,,GFS,GULFSTAR,United States,false,N,0.3,
Gulfstream International Airlines,\N,,GFT,GULF FLIGHT,United States,true,Y,0.3,
Gull Air,\N,,GUL,GULL-AIR,United States,false,N,0.3,
Gum Air,\N,,GUM,GUM AIR,Suriname,false,N,0.3,
Guneydogu Havacilik Isletmesi,\N,,GDH,RISING SUN,Turkey,false,N,0.3,
Guyana Airways 2000,\N,GY,,,,false,N,0.3,
Gwyn Aviation,\N,,GWN,GWYN,United Kingdom,false,N,0.3,
HC Airlines,\N,,HLA,HEAVYLIFT,United Kingdom,false,N,0.3,
HPM Investments,\N,,HWD,FLITEWISE,United Kingdom,false,N,0.3,
HT Helikoptertransport,\N,,KTR,COPTER TRANS,Sweden,false,N,0.3,
HTA Helicopteros,\N,,AHT,HELIAPRA,Portugal,false,N,0.3,
Hadison Aviation,\N,,FMS,HADI,United States,false,N,0.3,
Hageland Aviation Services,\N,H6,HAG,HAGELAND,United States,true,Y,0.3,
Hagondale Limited,\N,,POW,AIRNET,United Kingdom,false,N,0.3,
Hahn Air,\N,HR,HHN,ROOSTER,Germany,false,N,0.3,
Hainan Airlines,\N,HU,CHH,HAINAN,China,true,Y,0.3,
Hainan Phoenix Information Systems,\N,1R,,,China,false,N,0.3,
Haiti Air Freight,\N,,HLS,,Haiti,false,N,0.3,
Haiti Ambassador Airlines,\N,2T,HAM,,Haiti,true,Y,0.3,
Haiti International Air,\N,,HTI,HAITI INTERNATIONAL,Haiti,false,N,0.3,
Haiti International Airline,\N,,HRB,HAITI AIRLINE,Haiti,false,N,0.3,
Haiti National Airlines (HANA),\N,,HNR,HANAIR,Haiti,false,N,0.3,
Haiti North Airline,\N,,HTN,,Haiti,false,N,0.3,
Haiti Trans Air,\N,,HTC,HAITI TRANSAIR,Haiti,false,N,0.3,
Haitian Aviation Line,\N,,HBC,HALISA,Haiti,false,N,0.3,
Hajvairy Airlines,\N,,HAJ,HAJVAIRY,Pakistan,false,N,0.3,
Hak Air,\N,,HKL,HAK AIRLINE,Nigeria,false,N,0.3,
Hala Air,\N,,HLH,HALA AIR,Sudan,false,N,0.3,
Halcyon Air/Bissau Airways,\N,,HCN,HALCYON,Guinea-Bissau,false,N,0.3,
Hamburg International,\N,4R,HHI,HAMBURG JET,Germany,true,Y,0.3,
Hamlin Jet,\N,,HJL,BIZJET,United Kingdom,false,N,0.3,
Hamra Air,\N,,HMM,HAMRA,United Arab Emirates,false,N,0.3,
Hand D Aviation,\N,,WVA,WABASH VALLEY,United States,false,N,0.3,
Hangar 8,\N,,HGR,HANG,United Kingdom,false,N,0.3,
Hangard Aviation,\N,,HGD,HANGARD,Mongolia,false,N,0.3,
Hansung Airlines,\N,,HAN,HANSUNG AIR,Republic of Korea,false,N,0.3,
TUIfly,\N,X3,HLX,YELLOW CAB,Germany,true,Y,0.3,
Hapagfly,\N,HF,HLF,HAPAG LLOYD,Germany,true,Y,0.3,
Harbor Airlines,\N,HB,HAR,HARBOR,United States,false,N,0.3,
Harmony Airways,\N,HQ,HMY,HARMONY,Canada,false,N,0.3,
Haughey Air,\N,,NBR,NORBROOK,United Kingdom,false,N,0.3,
Haverfordwest Air Charter Services,\N,,PYN,POYSTON,United Kingdom,false,N,0.3,
Havilah Air Services,\N,,HAV,HAVILAH,Nigeria,false,N,0.3,
Hawaiian Airlines,\N,HA,HAL,HAWAIIAN,United States,true,Y,0.3,
Hawaiian Pacific Airlines,\N,HP,,,United States,false,N,0.3,
Hawk Air,\N,,HKR,AIR HAW,Argentina,false,N,0.3,
Hawk De Mexico,\N,,HMX,HAWK MEXICO,Mexico,false,N,0.3,
Hawkair,\N,BH,,,Canada,true,Y,0.3,
Hawkaire,\N,,HKI,HAWKEYE,United States,false,N,0.3,
Hazelton Airlines,\N,,HZL,HAZELTON,Australia,false,N,0.3,
Heavylift Cargo Airlines,\N,HN,HVY,HEAVY CARGO,Australia,false,N,0.3,
Heavylift International,\N,,HVL,HEAVYLIFT INTERNATIONAL,United Arab Emirates,false,N,0.3,
Helcopteros De Cataluna,\N,,HDC,HELICATALUNA,Spain,false,N,0.3,
Helenair (Barbados),\N,,HCB,HELEN,Barbados,false,N,0.3,
Helenair Corporation,\N,,HCL,HELENCORP,Saint Lucia,false,N,0.3,
Helenia Helicopter Service,\N,,HHP,HELENIA,Denmark,false,N,0.3,
Heli Air Services,\N,,HLR,HELI BULGARIA,Bulgaria,false,N,0.3,
Heli Ambulance Team,\N,,ALJ,ALPIN HELI,Austria,false,N,0.3,
Heli Bernina,\N,,HEB,HELIBERNINA,Switzerland,false,N,0.3,
Heli France,\N,8H,HFR,HELIFRANCE,France,true,Y,0.3,
Heli Hungary,\N,,HYH,HELIHUNGARY,Hungary,false,N,0.3,
Heli Medwest De Mexico,\N,,HLM,HELIMIDWEST,Mexico,false,N,0.3,
Heli Securite,\N,,HLI,HELI SAINT-TROPEZ,France,false,N,0.3,
Heli Trip,\N,,HTP,HELI TRIP,Mexico,false,N,0.3,
Heli Union Heli Prestations,\N,,HLU,HELI UNION,France,false,N,0.3,
Heli-Air-Monaco,\N,,MCM,HELI AIR,Monaco,false,N,0.3,
Heli-Holland,\N,,HHE,HELI HOLLAND,Netherlands,false,N,0.3,
Heli-Iberica,\N,,HRA,ERICA,Spain,false,N,0.3,
Heli-Iberica Fotogrametria,\N,,HIF,HIFSA,Spain,false,N,0.3,
Heli-Inter Guyane,\N,,HIG,INTER GUYANNE,France,false,N,0.3,
Heli-Link,\N,,HLK,HELI-LINK,Switzerland,false,N,0.3,
Heliamerica De Mexico,\N,,HMC,HELIAMERICA,Mexico,false,N,0.3,
Heliavia-Transporte Aereo,\N,,HEA,HELIAVIA,Portugal,false,N,0.3,
Heliaviation Limited,\N,,CDY,CADDY,United Kingdom,false,N,0.3,
Helibravo Aviacao,\N,,HIB,HELIBRAVO,Portugal,false,N,0.3,
Helicap,\N,,HLC,HELICAP,France,false,N,0.3,
Helicentre Coventry,\N,,COV,HELICENTRE,United Kingdom,false,N,0.3,
Helicol,\N,,HEL,HELICOL,Colombia,false,N,0.3,
Helicopter,\N,,HCP,HELI CZECH,Czech Republic,false,N,0.3,
Helicopter & Aviation Services,\N,,JKY,JOCKEY,United Kingdom,false,N,0.3,
Helicopter Training & Hire,\N,,MVK,MAVRIK,United Kingdom,false,N,0.3,
Helicopteros Aero Personal,\N,,HAP,HELIPERSONAL,Mexico,false,N,0.3,
Helicopteros Agroforestal,\N,,HAA,AGROFORESTAL,Chile,false,N,0.3,
Helicopteros Internacionales,\N,,HNT,HELICOP INTER,Mexico,false,N,0.3,
Helicopteros Y Vehiculos Nacionales Aereos,\N,,HEN,HELINAC,Mexico,false,N,0.3,
Helicsa,\N,,HHH,HELICSA,Spain,false,N,0.3,
Helijet,\N,JB,JBA,HELIJET,Canada,true,Y,0.3,
Helikopterdrift,\N,,HDR,HELIDRIFT,Norway,false,N,0.3,
Helikopterservice Euro Air,\N,,SCO,SWEDCOPTER,Sweden,false,N,0.3,
Heliocean,\N,,OCE,HELIOCEAN,France,false,N,0.3,
Helios Airways,\N,ZU,HCY,HELIOS,Cyprus,false,N,0.3,
Helipistas,\N,,HLP,HELIPISTAS,Spain,false,N,0.3,
Heliportugal,\N,,HPL,HELIPORTUGAL,Portugal,false,N,0.3,
Heliservicio Campeche,\N,,HEC,HELICAMPECHE,Mexico,false,N,0.3,
Helisul,\N,,HSU,HELIS,Portugal,false,N,0.3,
Heliswiss,\N,,HSI,HELISWISS,Switzerland,false,N,0.3,
Helitafe,\N,,HLT,HELITAFE,Mexico,false,N,0.3,
Helitalia,\N,,HIT,HELITALIA,Italy,false,N,0.3,
Helitaxi Ofavi,\N,,OFA,OFAVI,Mexico,false,N,0.3,
Helitrans,\N,,HTA,SCANBIRD,Norway,false,N,0.3,
Helitrans Air Service,\N,,HTS,HELITRANS,United States,false,N,0.3,
Heliworks,\N,,HLW,HELIWORKS,Chile,false,N,0.3,
Hellas Jet,\N,T4,HEJ,HELLAS JET,Greece,true,Y,0.3,
Hello,\N,HW,FHE,FLYHELLO,Switzerland,true,Y,0.3,
Helog,\N,,HLG,HELOG,Switzerland,false,N,0.3,
Helvetic Airways,\N,2L,OAW,HELVETIC,Switzerland,true,Y,0.3,
Hemus Air,\N,DU,HMS,HEMUS AIR,Bulgaria,false,N,0.3,
Henebury Aviation,\N,,HAC,,Australia,false,N,0.3,
Heritiage Flight (Valley Air Services),\N,,SSH,SNOWSHOE,United States,false,N,0.3,
Herman's Markair Express,\N,,MRX,SPEEDMARK,United States,false,N,0.3,
Herritage Aviation Developments,\N,,HED,FLAPJACK,United Kingdom,false,N,0.3,
Hewa Bora Airways,\N,EO,ALX,ALLCONGO,Democratic Republic of the Congo,false,N,0.3,
Hex'Air,\N,UD,HER,HEX AIRLINE,France,true,Y,0.3,
Hi-Jet Helicopter Services,\N,,HHS,HIJET,Suriname,false,N,0.3,
Hi Fly,\N,5K,HFY,SKY FLYER,Portugal,false,N,0.3,
High-Line Airways,\N,,HLB,HIGH-LINE,Canada,false,N,0.3,
Highland Airways,\N,,HWY,HIWAY,United Kingdom,true,Y,0.3,
Hispaniola Airways,\N,,HIS,HISPANIOLA,Dominican Republic,false,N,0.3,
Hogan Air,\N,,HGA,HOGAN AIR,United States,false,N,0.3,
Hokkaido Air System,\N,,NTH,NORTH AIR,Japan,false,N,0.3,
Hokkaido International Airlines,\N,HD,ADO,AIR DO,Japan,true,Y,0.3,
Hokuriki-Koukuu Company,\N,,ABH,,Japan,false,N,0.3,
Hola Airlines,\N,H5,HOA,HOLA,Spain,false,N,0.3,
Holding International Group,\N,,HIN,HOLDING GROUP,Mexico,false,N,0.3,
Holiday Airlines,\N,,HOL,HOLIDAY,United States,false,N,0.3,
Holstenair Lubeck,\N,,HTR,HOLSTEN,Germany,false,N,0.3,
Homac Aviation,\N,,HMV,HOMAC,Luxembourg,false,N,0.3,
Honduras Airlines,\N,,HAS,HONDURAS AIR,Honduras,false,N,0.3,
Hong Kong Airlines,\N,HX,CRK,BAUHINIA,Hong Kong SAR of China,true,Y,0.3,
Hong Kong Express Airways,\N,UO,HKE,HONGKONG SHUTTLE,Hong Kong SAR of China,true,Y,0.3,
Honiara Cargo Express,\N,,HEX,HONIARA CARGO,Solomon Islands,false,N,0.3,
Hop-A-Jet,\N,,HPJ,HOPA-JET,United States,false,N,0.3,
Hope Air,\N,HH,,HOPE AIR,Canada,false,N,0.3,
Horizon Air,Horizon Airlines,QX,QXE,HORIZON AIR,United States,true,Y,0.3,
Horizon Air Service,\N,,KOK,KOKO,United States,false,N,0.3,
Horizon Air for Transport and Training,\N,,HSM,ALOFUKAIR,Libya,false,N,0.3,
Horizon Air-Taxi,\N,,HOR,HORIZON,Switzerland,false,N,0.3,
Horizon Airlines,\N,BN,HZA,,Australia,true,Y,0.3,
Horizon Plus,\N,,HPS,HORIZON PLUS,Bangladesh,false,N,0.3,
Horizons Unlimited,\N,,HUD,HUD,United States,false,N,0.3,
Horizontes Aereos,\N,,HOZ,HORIZONTES AEREOS,Mexico,false,N,0.3,
Hoteles Dinamicos,\N,,HDI,DINAMICOS,Mexico,false,N,0.3,
Houston Helicopters,\N,,HHO,HOUSTON HELI,United States,false,N,0.3,
Houston Jet Services,\N,,GGV,GREGG AIR,Austria,false,N,0.3,
Hozu-Avia,\N,,OZU,HOZAVIA,Kazakhstan,false,N,0.3,
Hub Airlines,\N,,HUB,HUB,United States,false,N,0.3,
Huessler Air Service,\N,,HUS,HUESSLER,United States,false,N,0.3,
Hughes Aircraft Company,\N,,GMH,HUGHES EXPRESS,United States,false,N,0.3,
Hummingbird Helicopter Service,\N,,WHR,WHIRLEYBIRD,United States,false,N,0.3,
Hunair Hungarian Airlines,\N,,HUV,SILVER EAGLE,Hungary,false,N,0.3,
Hungarian Air Force,\N,,HUF,HUNGARIAN AIRFORCE,Hungary,false,N,0.3,
Hyack Air,\N,,HYA,HYACK,Canada,false,N,0.3,
Hydro Air Flight Operations,\N,,HYC,HYDRO CARGO,South Africa,false,N,0.3,
Hydro-Québec,\N,,HYD,HYDRO,Canada,false,N,0.3,
Héli Sécurité Helicopter Airlines,\N,H4,,,France,false,N,0.3,
International Air Carrier Association,\N,,ITC,,Belgium,false,N,0.3,
IBC Airways,\N,II,CSQ,CHASQUI,United States,false,N,0.3,
IBL Aviation,\N,,IBL,CATOVAIR,Mauritius,false,N,0.3,
IBM Euroflight Operations,\N,,BBL,BLUE,Switzerland,false,N,0.3,
ICAO,\N,,YYY,,,false,N,0.3,
ICAR Airlines,\N,C3,,,Ukraine,false,N,0.3,
ICC Canada,\N,,CIC,AIR TRADER,Canada,false,N,0.3,
IDG Technology Air,\N,,IDG,INDIGO,Czech Republic,false,N,0.3,
IFL Group,\N,,IFL,EIFEL,United States,false,N,0.3,
II Lione Alato Arl,\N,,RDE,FLIGHT RED,United Kingdom,false,N,0.3,
IJM International Jet Management,\N,,IJM,JET MANAGEMENT,Austria,false,N,0.3,
IKI International Airlines,\N,,IKK,IKIAIR,Japan,false,N,0.3,
IKON FTO,\N,,IKN,IKON,Germany,false,N,0.3,
IMP Aviation Services,\N,,BLU,BLUENOSE,Canada,false,N,0.3,
IMP Group Aviation Services,\N,,XGG,,Canada,false,N,0.3,
INFINI Travel Information,\N,1F,,,Japan,false,N,0.3,
IPEC Aviation,\N,,IPA,IPEC,Australia,false,N,0.3,
IPM Europe,\N,,IPM,SHIPEX,United Kingdom,false,N,0.3,
IRS Airlines,\N,,LVB,SILVERBIRD,Nigeria,false,N,0.3,
ISD Avia,\N,,ISD,ISDAVIA,Ukraine,false,N,0.3,
ITA Software,\N,1U,,,United States,false,N,0.3,
IVV Femida,\N,,FDF,,Russia,false,N,0.3,
Iberia Airlines,\N,IB,IBE,IBERIA,Spain,true,Y,0.3,
Ibertour Servicios Aereos,\N,,IBR,IBERTOUR,Spain,false,N,0.3,
Ibertrans Aerea,\N,,IBT,IBERTRANS,Spain,false,N,0.3,
Iberworld,\N,TY,IWD,,Spain,true,Y,0.3,
Ibex Airlines,\N,FW,IBX,IBEX,Japan,true,Y,0.3,
Ibicenca Air,\N,,IBC,IBICENCA,Spain,false,N,0.3,
Ibk-Petra,\N,,AKI, ,Sudan,false,N,0.3,
Icar Air,\N,,RAC,TUZLA AIR,Bosnia and Herzegovina,true,Y,0.3,
Icare Franche Compte,\N,,FRC,FRANCHE COMPTE,France,false,N,0.3,
Icaro,\N,,ICD,ICARO,Ecuador,false,N,0.3,
Icaro,\N,,ICA,ICARFLY,Italy,false,N,0.3,
Icarus,\N,,IUS,ICARUS,Italy,false,N,0.3,
Icejet,\N,,ICJ,ICEJET,Iceland,false,N,0.3,
Icelandair,\N,FI,ICE,ICEAIR,Iceland,true,Y,0.3,
Icelandic Coast Guard,\N,,ICG,ICELAND COAST,Iceland,false,N,0.3,
Ikaros DK,\N,,IKR,IKAROS,Denmark,false,N,0.3,
Il Ciocco International Travel Service,\N,,CIO,CIOCCO,Italy,false,N,0.3,
Il-Avia,\N,,ILV,ILAVIA,Russia,false,N,0.3,
Ildefonso Redriguez,\N,,IDL,ILDEFONSO,Mexico,false,N,0.3,
Iliamna Air Taxi,\N,,IAR,ILIAMNA AIR,United States,false,N,0.3,
Ilpo Aruba Cargo,\N,,ILP,,Aruba,false,N,0.3,
Ilyich-Avia,\N,,ILL,ILYICHAVIA,Ukraine,false,N,0.3,
Imaer,\N,,IMR,IMAER,Portugal,false,N,0.3,
Imair Airlines,\N,IK,ITX,IMPROTEX,Azerbaijan,true,Y,0.3,
Imperial Airways,\N,,PNX,PHOENIX,United States,false,N,0.3,
Imtrec Aviation,\N,,IMT,IMTREC,Cambodia,false,N,0.3,
Independence Air,\N,DH,IDE,INDEPENDENCE AIR,United States,false,N,0.3,
Independent Air Freighters,\N,,IDP,INDEPENDENT,Australia,false,N,0.3,
IndiGo Airlines,\N,6E,IGO,IFLY,India,true,Y,0.3,
India International Airways,\N,,IIL,INDIA INTER,India,false,N,0.3,
Indian Air Force,\N,,IFC,INDIAN AIRFORCE,India,false,N,0.3,
Indian Airlines,\N,IC,IAC,INDAIR,India,true,Y,0.3,
Indicator Company,\N,,IDR,INDICATOR,Hungary,false,N,0.3,
Indigo,\N,I9,IBU,INDIGO BLUE,United States,true,Y,0.3,
Indonesia Air Transport,\N,,IDA,INTRA,Indonesia,false,N,0.3,
Indonesia AirAsia,\N,QZ,AWQ,WAGON AIR,Indonesia,true,Y,0.3,
Indonesian Airlines,\N,IO,IAA,INDO LINES,Indonesia,true,Y,0.3,
Industri Pesawat Terbang Nusantara,\N,,IPN,NUSANTARA,Indonesia,false,N,0.3,
Industrias Titan,\N,,ITN,TITANLUX,Spain,false,N,0.3,
Infinit Air,\N,,FFI,INFINIT,Spain,false,N,0.3,
Inflite The Jet Centre,\N,,INS,,United Kingdom,false,N,0.3,
Innotech Aviation,\N,,IVA,INNOTECH,Canada,false,N,0.3,
Insel Air International,\N,,INC,INSELAIR,Netherlands Antilles,false,N,0.3,
Instituto Cartografico de Cataluna,\N,,ICC,CARTO,Spain,false,N,0.3,
Intair,\N,,INT,INTAIRCO,Canada,false,N,0.3,
Intal Avia,\N,,INL,INTAL AVIA,Kyrgyzstan,false,N,0.3,
Intavia Limited,\N,,FFL,,United Kingdom,false,N,0.3,
InteliJet Airways,\N,IJ,IJT,INTELIJET,Colombia,false,N,0.3,
Intensive Air,\N,,XRA,INTENSIVE,South Africa,false,N,0.3,
Inter Air,\N,,ITW,INTER WINGS,Bulgaria,false,N,0.3,
Inter Express,\N,,INX,INTER-EURO,Turkey,false,N,0.3,
Inter Islands Airlines,\N,H4,IIN,,Cape Verde,false,N,0.3,
Inter RCA,\N,,CAR,QUEBEC ROMEO,Central African Republic,false,N,0.3,
Inter Tropic Airlines,\N,,NTT,INTER-TROPIC,Sierra Leone,false,N,0.3,
Inter-Air,\N,,ITA,CAFEX,United States,false,N,0.3,
Inter-Canadian,\N,,ICN,INTER-CANADIAN,Canada,false,N,0.3,
Inter-Island Air,\N,,UGL,UGLY VAN,United States,false,N,0.3,
Inter-Mountain Airways,\N,,IMA,INTER-MOUNTAIN,United States,false,N,0.3,
Inter-State Aviation,\N,,ITS,INTER-STATE,United States,false,N,0.3,
Interair South Africa,\N,D6,ILN,INLINE,South Africa,true,Y,0.3,
Interaire,\N,,NTE,INTERMEX,Mexico,false,N,0.3,
Interavia Airlines,\N,ZA,SUW,ASTAIR,Russia,true,Y,0.3,
Interaviatrans,\N,,IVT,INTERAVIA,Ukraine,false,N,0.3,
Intercontinental de Aviaci,\N,RS,ICT,CONTAVIA,Colombia,false,N,0.3,
Intercopters,\N,,ICP,CHOPER,Spain,false,N,0.3,
Interflight,\N,,IFT,INTERFLIGHT,United Kingdom,false,N,0.3,
Interflight (Learjet),\N,,IJT,,United Kingdom,false,N,0.3,
Interfly,\N,,RFL,INFLY,Italy,false,N,0.3,
Interfreight Forwarding,\N,,IFF,INTERFREIGHT,Sudan,false,N,0.3,
Interguide Air,\N,,IGN,DIVINE AIR,Nigeria,false,N,0.3,
Interisland Airlines,\N,,ISN,TRI-BIRD,Philippines,false,N,0.3,
Interisland Airways Limited,\N,,IWY,ISLANDWAYS,Turks and Caicos Islands,false,N,0.3,
Interjet,\N,,MTF,INTERJET,Italy,false,N,0.3,
Interjet Helicopters,\N,,IHE,INTERCOPTER,Greece,false,N,0.3,
Interlink Airlines,\N,ID,ITK,INTERLINK,South Africa,true,Y,0.3,
International Air Cargo Corporation,\N,,IAK,AIR CARGO EGYPT,Egypt,false,N,0.3,
International Air Corporation,\N,,EXX,EXPRESS INTERNATIONAL,United States,false,N,0.3,
International Air Service,\N,,IAS,STARFLEET,United States,false,N,0.3,
International Air Services,\N,,IAX,INTERAIR SERVICES,Liberia,false,N,0.3,
International Business Air,\N,6I,IBZ,INTERBIZ,Sweden,false,N,0.3,
International Business Aircraft,\N,,IBY,CENTRAL STAGE,United States,false,N,0.3,
International Charter Services,\N,,ICS,INTERSERVI,Mexico,false,N,0.3,
International Charter Xpress,\N,,ICX,INTEX,United States,false,N,0.3,
International Committee of the Red Cross,\N,,RED,RED CROSS,Switzerland,false,N,0.3,
International Company for Transport,\N,,IIG, Trade and Public Works,ALDAWLYH AIR,false,N,0.3,
International Flight Training Academy,\N,,IFX,IFTA,United States,false,N,0.3,
International Jet Aviation Services,\N,,IJA,I-JET,United States,false,N,0.3,
International Jet Charter,\N,,HSP,HOSPITAL,United States,false,N,0.3,
International SOS WIndhoek,\N,,RSQ,SKYMEDIC,Namibia,false,N,0.3,
International Sabilisation Assistance Force,\N,,ISF,,United Kingdom,false,N,0.3,
International Security Assistance Force,\N,,THN,ATHENA,Canada,false,N,0.3,
International Trans-Air,\N,,ITH,INTRANS NIGERIA,Nigeria,false,N,0.3,
Interport Corporation,\N,,IPT,INTERPORT,United States,false,N,0.3,
Intersky,\N,,IKY,GENERAL SKY,Bulgaria,false,N,0.3,
Intersky,\N,3L,ISK,INTERSKY,Austria,true,Y,0.3,
Interstate Airline,\N,I4,FWA,FREEWAYAIR,Netherlands,false,N,0.3,
Intervuelos,\N,,ITU,INTERLOS,Mexico,false,N,0.3,
Inversija,\N,,INV,INVER,Latvia,false,N,0.3,
Iona National Airways,\N,,IND,IONA,Ireland,false,N,0.3,
Iowa Airways,\N,,IOA,IOWA AIR,United States,false,N,0.3,
Iran Air,\N,IR,IRA,IRANAIR,Iran,true,Y,0.3,
Iran Aseman Airlines,\N,EP,IRC,,Iran,true,Y,0.3,
Iranair Tours,\N,,IRB,,Iran,false,N,0.3,
Naft Air Lines,\N,,IRG,NAFT,Iran,false,N,0.3,
Iraqi Airways,\N,IA,IAW,IRAQI,Iraq,true,Y,0.3,
Irbis Air,\N,,BIS,IRBIS,Kazakhstan,false,N,0.3,
Irish Air Corps,\N,,IRL,IRISH,Ireland,false,N,0.3,
Irish Air Transport,\N,,RDK,IRISH TRANS,Ireland,false,N,0.3,
Irish Aviation Authority,\N,,XMR,AUTHORITY,Ireland,false,N,0.3,
Irtysh Airlines,\N,,IRT,IRTYSH AIRLINES,Uzbekistan,false,N,0.3,
Irving Oil,\N,,XIA,,Canada,false,N,0.3,
Irving Oil Transport,\N,,KCE,KACEY,Canada,false,N,0.3,
Island Air,\N,,ISI,ISLANDMEX,Mexico,false,N,0.3,
Island Air Charters,\N,,ILF,ISLAND FLIGHT,United States,false,N,0.3,
Island Air Express,\N,,XYZ,RAINBIRD,United States,false,N,0.3,
Island Airlines,\N,IS,,,United States,true,Y,0.3,
Island Aviation,\N,,SOY,SORIANO,Philippines,false,N,0.3,
Island Aviation Services,\N,,DQA,,Maldives,false,N,0.3,
Island Aviation and Travel,\N,,IOM,ISLE AVIA,United Kingdom,false,N,0.3,
Island Express,\N,2S,SDY,SANDY ISLE,United States,false,N,0.3,
Cargo Plus Aviation,\N,8L,CGP,,United Arab Emirates,true,Y,0.3,
Island Helicopters,\N,,MTP,METROCOPTER,United States,false,N,0.3,
Island Link,\N,,ILC,,Japan,false,N,0.3,
Islandair Jersey,\N,,IAJ,JARLAND,United Kingdom,false,N,0.3,
Islands Nationair,\N,CN,,,Papua New Guinea,false,N,0.3,
Icebird Airline,\N,,ICB,ICEBIRD,Iceland,false,N,0.3,
Islas Airways,\N,IF,ISW,PINTADERA,Spain,true,Y,0.3,
Isle Grande Flying School,\N,,IGS,ISLA GRANDE,United States,false,N,0.3,
Islena De Inversiones,\N,WC,ISV,,Honduras,true,Y,0.3,
Isles of Scilly Skybus,\N,,IOS,SCILLONIA,United Kingdom,false,N,0.3,
Israel Aircraft Industries,\N,,IAI,ISRAEL AIRCRAFT,Israel,false,N,0.3,
Israeli Air Force,\N,,IAF,,Israel,false,N,0.3,
Israir,\N,6H,ISR,ISRAIR,Israel,true,Y,0.3,
Istanbul Airlines,\N,,IST,ISTANBUL,Turkey,false,N,0.3,
Itali Airlines,\N,9X,ACL,ITALI,Italy,false,N,0.3,
Italy First,\N,,IFS,RIVIERA,Italy,false,N,0.3,
Itek Air,\N,GI,IKA,ITEK-AIR,Kyrgyzstan,true,Y,0.3,
Ivoire Aero Services,\N,,IVS,IVOIRE AERO,Ivory Coast,false,N,0.3,
Ivoire Airways,\N,,IVW,IVOIRAIRWAYS,Ivory Coast,false,N,0.3,
Ivoire Jet Express,\N,,IJE,IVOIRE JET,Ivory Coast,false,N,0.3,
Iwamoto Crane Co Ltd,\N,,OIC,,Japan,false,N,0.3,
Ixair,\N,,IXR,X-BIRD,France,false,N,0.3,
Izair,\N,H9,IZM,IZMIR,Turkey,false,N,0.3,
Izhavia,\N,,IZA,IZHAVIA,Russia,false,N,0.3,
J C Bamford (Excavators),\N,,JCB,JAYSEEBEE,United Kingdom,false,N,0.3,
J P Hunt Air Carriers,\N,,RFX,REFLEX,United States,false,N,0.3,
J-Air,\N,,JLJ,J AIR,Japan,false,N,0.3,
JAL Express,\N,JC,JEX,JANEX,Japan,true,Y,0.3,
JALways,\N,JO,JAZ,JALWAYS,Japan,true,Y,0.3,
JDAviation,\N,,JDA,JAY DEE,United Kingdom,false,N,0.3,
JDP Lux,\N,,JDP,RED PELICAN,Luxembourg,false,N,0.3,
JHM Cargo Expreso,\N,,JHM,,Costa Rica,false,N,0.3,
JM Family Aviation,\N,,TQM,TACOMA,United States,false,N,0.3,
JMC Airlines,\N,,JMC,JAYEMMSEE,United Kingdom,false,N,0.3,
JSC Transport Automated Information Systems,\N,1M,,,Russia,false,N,0.3,
JS Air,\N,,JSJ,JS CHARTER,Pakistan,false,N,0.3,
JS Aviation,\N,,JES,JAY-ESS AVIATION,Mexico,false,N,0.3,
Jackson Air Services,\N,,JCK,JACKSON,Canada,false,N,0.3,
Jade Cargo International,\N,,JAE,JADE CARGO,China,false,N,0.3,
Jamahiriya Airways,\N,,JAW,JAW,Libya,false,N,0.3,
Jambo Africa Airlines,\N,,JMB,JAMBOAFRICA,Democratic Republic of Congo,false,N,0.3,
Jana-Arka,\N,,JAK,YANZAR,Kazakhstan,false,N,0.3,
Janair,\N,,JAX,JANAIR,United States,false,N,0.3,
Japan Air Commuter,\N,,JAC,COMMUTER,Japan,false,N,0.3,
Japan Aircraft Service,\N,,JSV,,Japan,false,N,0.3,
Japan Airlines,JAL Japan Airlines,JL,JAL,JAPANAIR,Japan,true,Y,0.3,
Japan Airlines Domestic,\N,JL,JAL,J-BIRD,Japan,true,Y,0.3,
Japan Asia Airways,\N,EG,JAA,ASIA,Japan,true,Y,0.3,
Japan Transocean Air,\N,NU,JTA,JAI OCEAN,Japan,true,Y,0.3,
Jat Airways,\N,JU,JAT,JAT,Serbia,false,N,0.3,
Jatayu Airlines,\N,VJ,JTY,JATAYU,Indonesia,false,N,0.3,
Jazeera Airways,\N,J9,JZR,JAZEERA,Kuwait,true,Y,0.3,
Jeju Air,\N,7C,JJA,JEJU AIR,Republic of Korea,true,Y,0.3,
Jenney Beechcraft,\N,,JNY,JENAIR,United States,false,N,0.3,
Jeppesen Data Plan,\N,,XLD,,United States,false,N,0.3,
Jeppesen UK,\N,,JPN,JETPLAN,United Kingdom,false,N,0.3,
